,,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM
1991-06-30,MOM,,,,,,
1991-07-31,Mkt_minus_RF,,,,,,
1991-07-31,SMB,,,,,,
1991-07-31,HML,,,,,,
1991-07-31,RMW,,,,,,
1991-07-31,CMA,,,,,,
1991-07-31,MOM,,,,,,
1991-08-31,Mkt_minus_RF,,,,,,
1991-08-31,SMB,,,,,,
1991-08-31,HML,,,,,,
1991-08-31,RMW,,,,,,
1991-08-31,CMA,,,,,,
1991-08-31,MOM,,,,,,
1991-09-30,Mkt_minus_RF,,,,,,
1991-09-30,SMB,,,,,,
1991-09-30,HML,,,,,,
1991-09-30,RMW,,,,,,
1991-09-30,CMA,,,,,,
1991-09-30,MOM,,,,,,
1991-10-31,Mkt_minus_RF,,,,,,
1991-10-31,SMB,,,,,,
1991-10-31,HML,,,,,,
1991-10-31,RMW,,,,,,
1991-10-31,CMA,,,,,,
1991-10-31,MOM,,,,,,
1991-11-30,Mkt_minus_RF,,,,,,
1991-11-30,SMB,,,,,,
1991-11-30,HML,,,,,,
1991-11-30,RMW,,,,,,
1991-11-30,CMA,,,,,,
1991-11-30,MOM,,,,,,
1991-12-31,Mkt_minus_RF,29.138655480225985,3.9684116949152544,-6.386585254237288,1.5708581355932203,-5.555425649717515,3.39125231638418
1991-12-31,SMB,3.9684116949152544,6.099480762711864,-1.1043365254237287,-0.7944651694915255,-1.254534406779661,-1.7892954237288135
1991-12-31,HML,-6.386585254237288,-1.1043365254237287,4.310984491525423,-0.9906455084745762,2.6764611864406778,-2.1712422033898306
1991-12-31,RMW,1.5708581355932203,-0.7944651694915255,-0.9906455084745762,1.6574251694915254,-0.9919459322033898,0.774618474576271
1991-12-31,CMA,-5.555425649717515,-1.254534406779661,2.6764611864406778,-0.9919459322033898,3.280881242937853,0.6136812429378533
1991-12-31,MOM,3.39125231638418,-1.7892954237288135,-2.1712422033898306,0.774618474576271,0.6136812429378533,9.96477276836158
1992-01-31,Mkt_minus_RF,26.782911864406778,4.046016949152542,-5.90123220338983,1.6682542372881357,-5.384410169491525,3.1768372881355926
1992-01-31,SMB,4.046016949152542,7.559278276836158,-0.38426384180790973,-1.0861653672316383,-0.7980156497175142,-2.279828163841808
1992-01-31,HML,-5.90123220338983,-0.38426384180790973,4.581476836158192,-1.1559214689265536,2.8738468926553673,-2.377526553672316
1992-01-31,RMW,1.6682542372881357,-1.0861653672316383,-1.1559214689265536,1.7103117514124297,-1.0901893785310734,0.8816485310734464
1992-01-31,CMA,-5.384410169491525,-0.7980156497175142,2.8738468926553673,-1.0901893785310734,3.4145219209039546,0.4719897740112996
1992-01-31,MOM,3.1768372881355926,-2.279828163841808,-2.377526553672316,0.8816485310734464,0.4719897740112996,10.114574548022599
1992-02-29,Mkt_minus_RF,26.53037796610169,3.827537288135593,-5.447125423728813,1.745513559322034,-5.1724499999999995,3.3515974576271175
1992-02-29,SMB,3.827537288135593,7.384550395480226,0.12594610169491527,-1.0224116384180792,-0.5767711299435029,-2.142172259887006
1992-02-29,HML,-5.447125423728813,0.12594610169491527,4.72842813559322,-1.320199322033898,2.803644237288136,-2.802945593220339
1992-02-29,RMW,1.745513559322034,-1.0224116384180792,-1.320199322033898,1.6873422598870056,-1.1632165536723165,0.8311077401129942
1992-02-29,CMA,-5.1724499999999995,-0.5767711299435029,2.803644237288136,-1.1632165536723165,3.3369630225988702,0.2894330790960454
1992-02-29,MOM,3.3515974576271175,-2.142172259887006,-2.802945593220339,0.8311077401129942,0.2894330790960454,10.006461327683617
1992-03-31,Mkt_minus_RF,26.66581581920904,3.859171186440678,-5.66264406779661,1.7515836158192089,-5.341014124293785,3.3878999999999992
1992-03-31,SMB,3.859171186440678,7.391629237288136,0.06823771186440679,-1.0227673728813562,-0.6275033898305085,-2.134924576271187
1992-03-31,HML,-5.66264406779661,0.06823771186440679,4.896045508474576,-1.3720487288135592,2.8016030508474583,-2.890007288135593
1992-03-31,RMW,1.7515836158192089,-1.0227673728813562,-1.3720487288135592,1.6774620056497171,-1.2358073446327682,0.8256855932203391
1992-03-31,CMA,-5.341014124293785,-0.6275033898305085,2.8016030508474583,-1.2358073446327682,3.1301317514124287,0.19909423728813586
1992-03-31,MOM,3.3878999999999992,-2.134924576271187,-2.890007288135593,0.8256855932203391,0.19909423728813586,10.011297288135593
1992-04-30,Mkt_minus_RF,26.565582937853108,3.7402474011299436,-5.636394011299435,1.7242877401129943,-5.2847190960451975,3.3292076836158184
1992-04-30,SMB,3.7402474011299436,7.87430675141243,-0.3380258192090395,-1.1584747740112995,-0.793931581920904,-1.8379783615819207
1992-04-30,HML,-5.636394011299435,-0.3380258192090395,5.195892768361583,-1.2924485310734461,2.9504002259887,-3.131693672316384
1992-04-30,RMW,1.7242877401129943,-1.1584747740112995,-1.2924485310734461,1.687142683615819,-1.1818464971751412,0.7489819774011298
1992-04-30,CMA,-5.2847190960451975,-0.793931581920904,2.9504002259887,-1.1818464971751412,3.185711751412429,0.09499853107344651
1992-04-30,MOM,3.3292076836158184,-1.8379783615819207,-3.131693672316384,0.7489819774011298,0.09499853107344651,10.192363954802259
1992-05-31,Mkt_minus_RF,26.56408279661017,3.7373699999999994,-5.638387966101696,1.7278133050847455,-5.280325762711864,3.322310254237288
1992-05-31,SMB,3.7373699999999994,7.875622711864406,-0.32992745762711867,-1.168792711864407,-0.7872501694915255,-1.849920508474576
1992-05-31,HML,-5.638387966101696,-0.32992745762711867,5.214040564971751,-1.3175568926553671,2.9531951412429374,-3.138615310734463
1992-05-31,RMW,1.7278133050847455,-1.168792711864407,-1.3175568926553671,1.7215392937853107,-1.1878099435028249,0.7619740960451976
1992-05-31,CMA,-5.280325762711864,-0.7872501694915255,2.9531951412429374,-1.1878099435028249,3.1732910734463275,0.11486960451977421
1992-05-31,MOM,3.322310254237288,-1.849920508474576,-3.138615310734463,0.7619740960451976,0.11486960451977421,10.160893192090395
1992-06-30,Mkt_minus_RF,26.476198276836158,3.9728681920903957,-5.831759830508474,1.6754667231638416,-5.350903870056497,3.4405363841807897
1992-06-30,SMB,3.9728681920903957,7.915224971751412,-0.4309877966101695,-1.1054748022598873,-0.7996661581920904,-1.8273737853107344
1992-06-30,HML,-5.831759830508474,-0.4309877966101695,5.360309491525425,-1.3616837288135593,2.9839879661016946,-3.1918111864406775
1992-06-30,RMW,1.6754667231638416,-1.1054748022598873,-1.3616837288135593,1.6991897175141244,-1.2067233333333331,0.7934554802259888
1992-06-30,CMA,-5.350903870056497,-0.7996661581920904,2.9839879661016946,-1.2067233333333331,3.177176581920904,0.10783548022598893
1992-06-30,MOM,3.4405363841807897,-1.8273737853107344,-3.1918111864406775,0.7934554802259888,0.10783548022598893,10.173560903954801
1992-07-31,Mkt_minus_RF,26.46677228813559,4.004393050847458,-5.904639491525424,1.7881312711864403,-5.499524322033897,3.3702522033898292
1992-07-31,SMB,4.004393050847458,7.903649830508475,-0.4183030508474576,-1.1276547457627117,-0.7705713559322035,-1.8018155932203388
1992-07-31,HML,-5.904639491525424,-0.4183030508474576,5.3656337853107345,-1.3635862711864406,2.986900621468927,-3.2194801129943498
1992-07-31,RMW,1.7881312711864403,-1.1276547457627117,-1.3635862711864406,1.6924183898305083,-1.1984094067796607,0.8419667796610169
1992-07-31,CMA,-5.499524322033897,-0.7705713559322035,2.986900621468927,-1.1984094067796607,3.167025395480226,0.044207570621469065
1992-07-31,MOM,3.3702522033898292,-1.8018155932203388,-3.2194801129943498,0.8419667796610169,0.044207570621469065,10.117133785310735
1992-08-31,Mkt_minus_RF,26.40963895480226,4.053444124293785,-5.7864709322033905,1.5562155084745763,-5.315734661016948,3.510271836158191
1992-08-31,SMB,4.053444124293785,7.895447344632769,-0.42744966101694915,-1.1197479661016951,-0.7864713559322033,-1.8167674011299433
1992-08-31,HML,-5.7864709322033905,-0.42744966101694915,5.37249093220339,-1.404385338983051,2.9930085593220337,-3.222553305084746
1992-08-31,RMW,1.5562155084745763,-1.1197479661016951,-1.404385338983051,1.8291248305084744,-1.2524253389830509,0.8168195762711864
1992-08-31,CMA,-5.315734661016948,-0.7864713559322033,2.9930085593220337,-1.2524253389830509,3.1695200847457623,0.03423110169491542
1992-08-31,MOM,3.510271836158191,-1.8167674011299433,-3.222553305084746,0.8168195762711864,0.03423110169491542,10.100722344632768
