,0
2006-11-30,3.6576366146776786
2006-12-31,3.6899716310122637
2007-01-31,3.7825780449179387
2007-02-28,3.7681712121455693
2007-03-31,3.849134759342726
2007-04-30,4.061187340009985
2007-05-31,4.213549725380015
2007-06-30,4.106749871304552
2007-07-31,3.9295375187656054
2007-08-31,3.998072562084368
2007-09-30,4.179502595808022
2007-10-31,4.335538204301125
2007-11-30,4.175383232614465
2007-12-31,4.148274173429424
2008-01-31,3.882005433179641
2008-02-29,3.6921441243445043
2008-03-31,3.6785041152090123
2008-04-30,3.9144104654418834
2008-05-31,4.015718833090022
2008-06-30,3.542413592688951
2008-07-31,3.469485142458333
2008-08-31,3.558466425347903
2008-09-30,3.2083051997015017
2008-10-31,2.4701720744909568
2008-11-30,2.177098691939708
2008-12-31,2.2464706418780898
