,Mkt_minus_RF,SMB,HML,RMW,CMA,MOM,RF
2000-03-31,5.2,-15.35,8.17,11.82,-1.65,-6.83,0.47
2000-04-30,-6.4,-5.01,7.26,7.66,5.65,-8.39,0.46
2000-05-31,-4.42,-3.84,4.81,4.17,1.3,-8.98,0.5
2000-06-30,4.64,9.93,-8.43,-8.32,-2.93,16.6,0.4
2000-07-31,-2.51,-1.03,8.3,5.82,2.95,-0.05,0.48
2000-08-31,7.03,-1.04,-1.38,-3.22,1.09,5.73,0.5
2000-09-30,-5.45,0.19,7.17,2.56,5.53,1.97,0.51
2000-10-31,-2.76,-2.64,5.7,9.6,3.82,-4.48,0.56
2000-11-30,-10.72,-0.6,12.32,13.09,8.39,-2.32,0.51
2000-12-31,1.19,3.26,7.61,1.72,4.78,6.74,0.5
2001-01-31,3.13,5.5,-5.09,-4.7,-5.0,-25.3,0.54
2001-02-28,-10.05,2.82,12.48,9.11,9.05,12.57,0.38
2001-03-31,-7.26,2.33,6.42,3.36,3.91,8.55,0.42
2001-04-30,7.94,-0.86,-4.68,-3.07,-3.19,-7.9,0.39
2001-05-31,0.72,3.59,3.38,0.26,1.88,2.21,0.32
2001-06-30,-1.94,6.57,-1.13,1.6,-1.5,0.38,0.28
2001-07-31,-2.13,-2.83,5.21,7.42,3.06,5.58,0.3
2001-08-31,-6.46,2.71,2.3,4.05,6.56,5.53,0.31
2001-09-30,-9.25,-5.73,1.45,5.0,3.2,11.48,0.28
2001-10-31,2.46,5.28,-7.66,-2.99,-4.54,-8.47,0.22
2001-11-30,7.54,-0.31,2.22,-3.72,-1.62,-8.69,0.17
2001-12-31,1.6,5.16,0.85,0.35,-0.27,0.07,0.15
2002-01-31,-1.44,1.26,3.44,4.69,2.83,3.75,0.14
2002-02-28,-2.29,-0.36,2.16,8.06,5.11,6.82,0.13
2002-03-31,4.24,4.25,1.06,-1.78,0.57,-1.64,0.13
2002-04-30,-5.2,6.72,3.88,4.56,5.38,7.63,0.15
2002-05-31,-1.38,-3.02,1.53,2.37,2.43,3.16,0.14
2002-06-30,-7.21,3.89,-0.03,3.93,2.49,6.03,0.13
2002-07-31,-8.18,-6.43,-3.85,3.79,-0.99,3.77,0.15
2002-08-31,0.5,-1.3,3.29,1.36,-1.46,1.9,0.14
2002-09-30,-10.35,3.07,1.47,3.29,-2.19,9.13,0.14
2002-10-31,7.84,-4.3,-3.94,-3.4,0.77,-5.58,0.14
2002-11-30,5.96,2.93,-1.21,-9.21,5.17,-16.33,0.12
